CustomerID,Age,FirstTransactionDate,LastTransactionDate,TotalAmountSpent,TransactionCount,AvgAmountPerTransaction,FirstInteractionDate,LastInteractionDate,TotalServiceInteractions,ServiceDiversity,LastLoginDate,ChurnStatus,LoginFrequency,RecencyDays,TenureDays,DaysSinceLastLogin,InteractionsPerMonth,TotalAmountSpent_Capped,TransactionCount_Capped,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,Gender_F,Gender_M,IncomeLevel_High,IncomeLevel_Low,IncomeLevel_Medium,ServiceUsage_Mobile App,ServiceUsage_Online Banking,ServiceUsage_Website
1,62,2022-03-27,2022-03-27,416.5,1,416.5,2022-03-31,2022-03-31,1,1,2023-10-21,0,34.0,279,0,-294,1.0,416.5,1.0,False,False,True,False,False,True,False,True,False,True,False,False
2,65,2022-01-09,2022-11-19,1547.4199999999998,7,221.05999999999997,2022-03-17,2022-03-17,1,1,2023-12-05,1,5.0,42,314,-339,0.09554140127388534,1547.4199999999998,7.0,False,True,False,False,False,True,False,True,False,False,False,True
3,18,2022-02-11,2022-10-08,1702.98,6,283.83,2022-08-24,2022-08-24,1,1,2023-11-15,0,3.0,84,239,-319,0.12552301255230125,1702.98,6.0,False,False,True,False,False,True,False,True,False,False,False,True
4,21,2022-05-22,2022-12-27,917.29,5,183.458,2022-07-03,2022-11-18,2,1,2023-08-25,0,2.0,4,219,-237,0.273972602739726,917.29,5.0,False,False,False,True,False,True,False,True,False,False,False,True
5,21,2022-02-21,2022-12-21,2001.49,8,250.18625,2022-02-21,2023-10-27,0,0,2023-10-27,0,41.0,10,303,-300,0.0,2001.49,8.0,True,False,False,False,False,True,False,False,True,False,False,True
6,57,2022-07-03,2022-10-29,1164.29,5,232.858,2022-05-05,2022-05-05,1,1,2023-09-17,0,2.0,63,118,-260,0.2542372881355932,1164.29,5.0,True,False,False,False,True,False,False,False,True,False,False,True
7,27,2022-10-24,2022-10-24,86.73,1,86.73,2022-10-24,2023-01-07,0,0,2023-01-07,0,32.0,68,0,-7,0.0,86.73,1.0,False,True,False,False,True,False,True,False,False,True,False,False
8,37,2022-03-10,2022-11-09,2046.88,7,292.4114285714286,2022-04-29,2022-09-13,2,2,2023-04-22,1,17.0,52,244,-112,0.24590163934426232,2046.88,7.0,False,False,True,False,False,True,False,True,False,False,True,False
9,39,2022-01-13,2022-10-19,1317.24,5,263.448,2022-08-15,2022-08-15,1,1,2023-06-27,0,24.0,73,279,-178,0.1075268817204301,1317.24,5.0,True,False,False,False,False,True,True,False,False,False,False,True
10,68,2022-01-19,2022-10-31,1397.36,7,199.62285714285713,2022-01-19,2023-01-13,0,0,2023-01-13,1,29.0,61,285,-13,0.0,1397.36,7.0,False,True,False,False,False,True,True,False,False,False,True,False
