CustomerID,Age,FirstTransactionDate,LastTransactionDate,TotalAmountSpent,TransactionCount,AvgAmountPerTransaction,FirstInteractionDate,LastInteractionDate,TotalServiceInteractions,ServiceDiversity,LastLoginDate,ChurnStatus,LoginFrequency,RecencyDays,TenureDays,DaysSinceLastLogin,InteractionsPerMonth,TotalAmountSpent_Capped,TransactionCount_Capped,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,Gender_F,Gender_M,IncomeLevel_High,IncomeLevel_Low,IncomeLevel_Medium,ServiceUsage_Mobile App,ServiceUsage_Online Banking,ServiceUsage_Website,TotalAmountSpent_Capped_scaled,AvgAmountPerTransaction_scaled,TransactionCount_Capped_scaled,RecencyDays_scaled,TenureDays_scaled,TotalServiceInteractions_scaled,ServiceDiversity_scaled,LoginFrequency_scaled,DaysSinceLastLogin_scaled,InteractionsPerMonth_scaled
1,62,2022-03-27,2022-03-27,416.5,1,416.5,2022-03-31,2022-03-31,1,1,2023-10-21,0,34.0,279,0,-294,1.0,416.5,1.0,False,False,True,False,False,True,False,True,False,True,False,False,-1.1586173550496242,2.1137904997984616,-1.5579540466010575,2.553961890840164,-1.8935623923685259,-0.0024507227665182393,0.16021220254836946,0.5757024663120962,-1.0215572119148126,1.640262457585797
2,65,2022-01-09,2022-11-19,1547.4199999999998,7,221.05999999999997,2022-03-17,2022-03-17,1,1,2023-12-05,1,5.0,42,314,-339,0.09554140127388534,1547.4199999999998,7.0,False,True,False,False,False,True,False,True,False,False,False,True,0.3867409458811263,-0.34974710603455245,0.7478486864049475,-0.458190287718171,0.9635187783932319,-0.0024507227665182393,0.16021220254836946,-1.4885126082490794,-1.450762893593227,-0.3778768297649846
3,18,2022-02-11,2022-10-08,1702.98,6,283.83,2022-08-24,2022-08-24,1,1,2023-11-15,0,3.0,84,239,-319,0.12552301255230125,1702.98,6.0,False,False,True,False,False,True,False,True,False,False,False,True,0.5993076502393372,0.4414740130717631,0.36354823090394667,0.07560883253267311,0.28109493187370377,-0.0024507227665182393,0.16021220254836946,-1.6308722685636434,-1.2600048128472652,-0.31097817049603443
4,21,2022-05-22,2022-12-27,917.29,5,183.458,2022-07-03,2022-11-18,2,1,2023-08-25,0,2.0,4,219,-237,0.273972602739726,917.29,5.0,False,False,False,True,False,True,False,True,False,False,False,True,-0.47430725042408867,-0.8237234724617574,-0.02075222459705415,-0.9411513965165538,0.09911523946849626,1.2229106604926003,0.16021220254836946,-1.7020520987209253,-0.4778966817888211,0.020260816639833857
5,21,2022-02-21,2022-12-21,2001.49,8,250.18625,2022-02-21,2023-10-27,0,0,2023-10-27,0,41.0,10,303,-300,0.0,2001.49,8.0,True,False,False,False,False,True,False,False,True,False,False,True,1.00720998321677,0.01739172016220301,1.1321491419059484,-0.8648943793378617,0.8634299475703677,-1.2278121060256368,-1.209122861967609,1.0739612774130698,-1.0787846361386013,-0.5910605573020389
6,57,2022-07-03,2022-10-29,1164.29,5,232.858,2022-05-05,2022-05-05,1,1,2023-09-17,0,2.0,63,118,-260,0.2542372881355932,1164.29,5.0,True,False,False,False,True,False,False,False,True,False,False,True,-0.13679133388720244,-0.20103232567424764,-0.02075222459705415,-0.19129072759274895,-0.8198822071778016,-0.0024507227665182393,0.16021220254836946,-1.7020520987209253,-0.6972684746466774,-0.023775045042419684
7,27,2022-10-24,2022-10-24,86.73,1,86.73,2022-10-24,2023-01-07,0,0,2023-01-07,0,32.0,68,0,-7,0.0,86.73,1.0,False,True,False,False,True,False,True,False,False,True,False,False,-1.609235265156381,-2.042988032106742,-1.5579540466010575,-0.12774321327717228,-1.8935623923685259,-1.2278121060256368,-1.209122861967609,0.4333428059975324,1.7158212467897414,-0.5910605573020389
8,37,2022-03-10,2022-11-09,2046.88,7,292.4114285714286,2022-04-29,2022-09-13,2,2,2023-04-22,1,17.0,52,244,-112,0.24590163934426232,2046.88,7.0,False,False,True,False,False,True,False,True,False,False,True,False,1.069233657109925,0.5496436405660541,0.7478486864049475,-0.33109525908701765,0.32658985497500564,1.2229106604926003,1.529547267064348,-0.6343546463616965,0.7143413228734411,-0.04237457003453827
9,39,2022-01-13,2022-10-19,1317.24,5,263.448,2022-08-15,2022-08-15,1,1,2023-06-27,0,24.0,73,279,-178,0.1075268817204301,1317.24,5.0,True,False,False,False,False,True,True,False,False,False,False,True,0.07220890673756182,0.1845571921441715,-0.02075222459705415,-0.06419569896159559,0.6450543166841187,-0.0024507227665182393,0.16021220254836946,-0.13609583526072297,0.08483965641176668,-0.35113335140012114
10,68,2022-01-19,2022-10-31,1397.36,7,199.62285714285713,2022-01-19,2023-01-13,0,0,2023-01-13,1,29.0,61,285,-13,0.0,1397.36,7.0,False,True,False,False,False,True,True,False,False,False,True,False,0.18168977812596382,-0.619964091248357,0.7478486864049475,-0.21670973331897964,0.699648224405681,-1.2278121060256368,-1.209122861967609,0.21980331552568663,1.658593822565953,-0.5910605573020389
11,54,2022-03-01,2022-12-14,1733.83,5,346.76599999999996,2022-01-26,2022-10-28,2,1,2023-01-22,0,30.0,17,288,-22,0.20833333333333334,1733.83,5.0,True,False,False,False,False,True,False,False,True,False,True,False,0.641462978276434,1.2347875761126272,-0.02075222459705415,-0.7759278592960545,0.7269451782664621,1.2229106604926003,0.16021220254836946,0.29098314568296857,1.5727526862302699,-0.1262015958670731
12,41,2022-11-02,2022-11-02,87.1,1,87.1,2022-01-12,2022-11-29,2,2,2023-12-31,0,43.0,59,0,-365,2.0,87.1,1.0,False,True,False,False,True,False,False,True,False,False,False,True,-1.6087296745121762,-2.038324151047807,-1.5579540466010575,-0.2421287390452103,-1.8935623923685259,1.2229106604926003,1.529547267064348,1.2163209377276336,-1.6987483985629777,3.8715854724736327
13,24,2022-07-23,2022-09-27,392.02,3,130.67333333333332,2022-07-27,2022-07-27,1,1,2023-07-05,0,10.0,95,66,-186,0.45454545454545453,392.02,3.0,True,False,False,False,True,False,False,True,False,True,False,False,-1.1920683252391908,-1.4890786267019012,-0.7893531355990558,0.2154133640269418,-1.293029407431341,-0.0024507227665182393,0.16021220254836946,-1.1326134574626698,0.008536424113381895,0.4231771767378864
